"state","age_group","race","death_2019","population_2019","covid_deaths","total_deaths_pandemic","annual_death_pandemic","prop_higher_education","fips","mean_household_income","private_insurance","public_insurance","no_insurance","mortrate_2019","mortrate_covid","mortrate_change","income","education","income_decile","education_decile"
"DE","15-24 years","White",45,72573,NA,173,47.2,33.6,10,97081,71.8,39.2,5.8,62.006531354636,65.0379617764182,3.0314304217822,97081,33.6,7,6
"DE","25-34 years","Black or African American",71,32878,12,291,79.4,33.6,10,97081,71.8,39.2,5.8,215.949875296551,241.49887462741,25.5489993308596,97081,33.6,7,6
"DE","25-34 years","White",177,84100,NA,485,132.3,33.6,10,97081,71.8,39.2,5.8,210.463733650416,157.31272294887,-53.1510107015458,97081,33.6,7,6
"DE","35-44 years","Black or African American",94,27741,13,345,94.1,33.6,10,97081,71.8,39.2,5.8,338.848635593526,339.209112865434,0.360477271907996,97081,33.6,7,6
"DE","35-44 years","White",215,74947,32,846,230.7,33.6,10,97081,71.8,39.2,5.8,286.869387700642,307.817524383898,20.9481366832562,97081,33.6,7,6
"DE","45-54 years","Black or African American",148,29036,56,621,169.4,33.6,10,97081,71.8,39.2,5.8,509.712081553933,583.413693346191,73.7016117922579,97081,33.6,7,6
"DE","45-54 years","White",358,82145,104,1366,372.5,33.6,10,97081,71.8,39.2,5.8,435.814717876925,453.466431310488,17.6517134335626,97081,33.6,7,6
"DE","55-64 years","Black or African American",287,28299,148,1411,384.8,33.6,10,97081,71.8,39.2,5.8,1014.17011201809,1359.76536273367,345.595250715573,97081,33.6,7,6
"DE","55-64 years","White",902,103197,238,3577,975.5,33.6,10,97081,71.8,39.2,5.8,874.056416368693,945.279417037317,71.223000668624,97081,33.6,7,6
"DE","65-74 years","Black or African American",378,17726,167,1796,489.8,33.6,10,97081,71.8,39.2,5.8,2132.46079205687,2763.17274060702,630.711948550153,97081,33.6,7,6
"DE","65-74 years","White",1394,90877,533,6478,1766.7,33.6,10,97081,71.8,39.2,5.8,1533.94148134291,1944.05625185691,410.114770513991,97081,33.6,7,6
"DE","75-84 years","Black or African American",352,7780,186,1707,465.5,33.6,10,97081,71.8,39.2,5.8,4524.42159383033,5983.29048843188,1458.86889460154,97081,33.6,7,6
"DE","75-84 years","White",1891,45913,778,8680,2367.3,33.6,10,97081,71.8,39.2,5.8,4118.65920327576,5156.05601899244,1037.39681571668,97081,33.6,7,6
"DE","85+ years","Black or African American",272,2531,134,1354,369.3,33.6,10,97081,71.8,39.2,5.8,10746.7404188068,14591.0707230344,3844.33030422758,97081,33.6,7,6
"DE","85+ years","White",2444,17098,846,9637,2628.3,33.6,10,97081,71.8,39.2,5.8,14294.0694818107,15371.9733302141,1077.90384840332,97081,33.6,7,6
"D.C.","< 1 year","Black or African American",37,3459,NA,247,67.4,61.4,11,138421,71.9,34.7,3.4,1069.67331598728,1948.54004047413,878.866724486846,138421,61.4,10,10
"D.C.","15-24 years","Black or African American",87,40643,NA,349,95.2,61.4,11,138421,71.9,34.7,3.4,214.059001550082,234.234677558251,20.1756760081687,138421,61.4,10,10
"D.C.","25-34 years","Black or African American",123,55288,19,715,195,61.4,11,138421,71.9,34.7,3.4,222.471422370135,352.698596440457,130.227174070323,138421,61.4,10,10
"D.C.","25-34 years","White",21,93805,NA,157,42.8,61.4,11,138421,71.9,34.7,3.4,22.3868663717286,45.6265657480944,23.2396993763659,138421,61.4,10,10
"D.C.","35-44 years","Black or African American",169,39951,45,942,256.9,61.4,11,138421,71.9,34.7,3.4,423.018197291682,643.03772120848,220.019523916798,138421,61.4,10,10
"D.C.","35-44 years","White",34,58865,11,245,66.8,61.4,11,138421,71.9,34.7,3.4,57.759279707806,113.479996602395,55.7207168945893,138421,61.4,10,10
"D.C.","45-54 years","Black or African American",340,36352,139,1452,396,61.4,11,138421,71.9,34.7,3.4,935.299295774648,1089.3485915493,154.049295774648,138421,61.4,10,10
"D.C.","45-54 years","White",48,32583,16,346,94.4,61.4,11,138421,71.9,34.7,3.4,147.316085075039,289.72163398091,142.405548905871,138421,61.4,10,10
"D.C.","55-64 years","Black or African American",754,41275,337,3638,992.2,61.4,11,138421,71.9,34.7,3.4,1826.77165354331,2403.87643852211,577.104784978801,138421,61.4,10,10
"D.C.","55-64 years","White",97,25156,46,723,197.2,61.4,11,138421,71.9,34.7,3.4,385.593894100811,783.908411512164,398.314517411353,138421,61.4,10,10
